[2025-11-26 20:06:53] Scanning for DataStream Capsule...
[2025-11-26 20:06:54] Found device: 04:83:08:76:26:BA — connecting...
[2025-11-26 20:07:37] Scanning for DataStream Capsule...
[2025-11-26 20:07:38] Found device: 04:83:08:76:26:BA — connecting...
[2025-11-26 20:07:43] Connected
[2025-11-26 20:07:43] Writing 'Init' to Control
[2025-11-26 20:07:43] Status notification: 'Ready'
[2025-11-26 20:07:43] Ready received, sending 'Moving' (control & status)
[2025-11-26 20:07:48] Disconnecting for submersion
[2025-11-26 20:07:50] Starting MEASURE_COLLECTION_MOTOR_CONTROL()
[2025-11-26 20:07:50] Winch movement cycle 1
[2025-11-26 20:07:51] Winch movement cycle 2
[2025-11-26 20:07:52] Winch movement cycle 3
[2025-11-26 20:07:53] Finished MEASURE_COLLECTION_MOTOR_CONTROL()
[2025-11-26 20:07:55] Scanning for DataStream Capsule (reconnection)...
[2025-11-26 20:08:10] Capsule not found on resurfacing.
[2025-11-26 20:08:15] Capsule not found on resurfacing.
[2025-11-26 20:08:20] Capsule not found on resurfacing.
[2025-11-26 20:08:25] Capsule not found on resurfacing.
[2025-11-26 20:08:30] Capsule not found on resurfacing.
[2025-11-26 20:08:35] Capsule not found on resurfacing.
[2025-11-26 20:08:40] Capsule not found on resurfacing.
[2025-11-26 20:08:45] Capsule not found on resurfacing.
[2025-11-26 20:08:50] Capsule not found on resurfacing.
[2025-11-26 20:08:55] Capsule not found on resurfacing.
[2025-11-26 20:09:00] Capsule not found on resurfacing.
[2025-11-26 20:09:05] Capsule not found on resurfacing.
[2025-11-26 20:09:10] Capsule not found on resurfacing.
[2025-11-26 20:09:15] Capsule not found on resurfacing.
[2025-11-26 20:09:20] Capsule not found on resurfacing.
[2025-11-26 20:09:25] Capsule not found on resurfacing.
[2025-11-26 20:09:30] Capsule not found on resurfacing.
[2025-11-26 20:09:35] Capsule not found on resurfacing.
[2025-11-26 20:09:40] Capsule not found on resurfacing.
[2025-11-26 20:09:45] Capsule not found on resurfacing.
[2025-11-26 20:09:50] Capsule not found on resurfacing.
[2025-11-26 20:09:55] Capsule not found on resurfacing.
[2025-11-26 20:10:00] Capsule not found on resurfacing.
[2025-11-26 20:10:05] Capsule not found on resurfacing.
[2025-11-26 20:10:10] Capsule not found on resurfacing.
[2025-11-26 20:10:15] Capsule not found on resurfacing.
[2025-11-26 20:10:20] Capsule not found on resurfacing.
[2025-11-26 20:10:25] Capsule not found on resurfacing.
[2025-11-26 20:10:30] Capsule not found on resurfacing.
[2025-11-26 20:10:35] Capsule not found on resurfacing.
[2025-11-26 20:10:40] Capsule not found on resurfacing.
[2025-11-26 20:10:45] Capsule not found on resurfacing.
[2025-11-26 20:10:50] Capsule not found on resurfacing.
[2025-11-26 20:10:55] Capsule not found on resurfacing.
[2025-11-26 20:11:00] Capsule not found on resurfacing.
[2025-11-26 20:11:05] Capsule not found on resurfacing.
[2025-11-26 20:11:10] Capsule not found on resurfacing.
[2025-11-26 20:11:15] Capsule not found on resurfacing.
[2025-11-26 20:11:20] Capsule not found on resurfacing.
[2025-11-26 20:11:25] Capsule not found on resurfacing.
[2025-11-26 20:11:30] Capsule not found on resurfacing.
[2025-11-26 20:11:35] Capsule not found on resurfacing.
[2025-11-26 20:11:40] Capsule not found on resurfacing.
[2025-11-26 20:11:45] Capsule not found on resurfacing.
[2025-11-26 20:11:50] Capsule not found on resurfacing.
[2025-11-26 20:11:55] Capsule not found on resurfacing.
[2025-11-26 20:12:00] Capsule not found on resurfacing.
[2025-11-26 20:12:05] Capsule not found on resurfacing.
[2025-11-26 20:12:10] Capsule not found on resurfacing.
[2025-11-26 20:12:15] Capsule not found on resurfacing.
[2025-11-26 20:12:20] Capsule not found on resurfacing.
[2025-11-26 20:12:25] Capsule not found on resurfacing.
[2025-11-26 20:12:30] Capsule not found on resurfacing.
[2025-11-26 20:12:35] Capsule not found on resurfacing.
[2025-11-26 20:12:40] Capsule not found on resurfacing.
[2025-11-26 20:12:45] Capsule not found on resurfacing.
[2025-11-26 20:12:50] Capsule not found on resurfacing.
[2025-11-26 20:12:55] Capsule not found on resurfacing.
[2025-11-26 20:13:00] Capsule not found on resurfacing.
[2025-11-26 20:13:05] Capsule not found on resurfacing.
[2025-11-26 20:13:10] Capsule not found on resurfacing.
[2025-11-26 20:13:15] Capsule not found on resurfacing.
[2025-11-26 20:13:20] Capsule not found on resurfacing.
[2025-11-26 20:13:25] Capsule not found on resurfacing.
[2025-11-26 20:13:30] Capsule not found on resurfacing.
[2025-11-26 20:13:35] Capsule not found on resurfacing.
